0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3
0,0,0,0,5,6,3,0,0,1,2,2,0,0,0,0,0,0,2,7
0,0,0,2,8,9,9,6,4,5,4,2,0,0,0,0,0,1,5,8
0,0,0,1,8,9,9,9,9,8,6,2,0,0,0,0,0,3,4,5
0,0,0,0,4,8,9,8,9,8,6,2,0,0,0,0,1,3,2,0
0,0,0,0,0,2,3,3,5,7,6,2,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0,2,4,5,2,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,4,5,2,0,0,0,0,2,3,2,0,0,0,0,0,0
0,0,0,1,7,8,5,1,0,0,4,8,9,7,3,0,0,0,0,0
0,0,0,1,7,8,4,0,0,1,6,9,9,9,6,1,0,0,0,0
0,0,0,1,6,5,2,0,0,0,3,8,9,8,6,3,1,0,1,2
0,0,0,2,4,3,0,0,0,0,0,2,3,3,2,2,1,1,1,1
0,0,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
